t,id,id_ind,dep_share,price,DFF,log_numbranch,log_numemp_numbran,exponpremises_at,salaries_at,DFF_IV
1,1,1,.0267629,4.965425,4.9654247,0,0,0,0,4.965425
1,2,2,.0000231,,,1.25581,-.4926938,.4122036,1.661522,0
1,3,2,.0001487,2.867938,4.9654247,3.401197,-2.346885,.4447846,2.079755,0
1,4,2,.0000808,3.023809,4.9654247,3.044523,-2.220347,.4794506,1.131968,0
1,5,2,.0000357,2.989894,4.9654247,2.772589,-2.271813,.7868734,2.433485,0
1,6,2,.0000891,3.583151,4.9654247,3.178054,-1.762201,.7980613,2.646105,0
1,7,2,.0002505,1.866269,4.9654247,3.135494,-2.298247,.2700982,1.060596,0
1,8,2,.0030805,2.815001,4.9654247,6.035481,-1.705801,.4275157,1.500386,0
1,9,2,.0000503,2.694665,4.9654247,2.302585,-1.987774,.3024781,1.2873,0
1,10,2,.002823,3.048372,4.9654247,5.575949,-2.135852,.3631333,1.060596,0
1,11,2,.0003588,1.785436,4.9654247,3.258096,-1.597965,.7980613,2.646105,0
1,12,2,.0000956,2.957159,4.9654247,2.890372,-2.227684,.2700982,1.080706,0
1,13,2,.0002006,3.769639,4.9654247,3.465736,-1.72002,.4372763,2.437886,0
1,14,2,.000208,3.119998,4.9654247,3.688879,-1.90717,.7388256,1.64871,0
1,15,2,.0002365,3.152763,4.9654247,4.356709,-2.27477,.4344625,1.480415,0
1,16,2,.0000608,3.802887,4.9654247,2.484907,-2.21488,.404229,1.722473,0
1,17,2,.0000877,3.008537,4.9654247,2.944439,-1.925592,.7536072,2.061628,0
1,18,2,.0002424,4.214778,4.9654247,3.688879,-1.567816,.5405817,1.946521,0
1,19,2,.0000608,1.987957,4.9654247,2.484907,-2.008672,.3854537,1.424447,0
1,20,2,.0000879,2.642676,4.9654247,2.484907,-1.724101,.3867277,1.118589,0
1,21,2,.0000571,3.590515,4.9654247,2.944439,-2.124659,.4951383,1.630221,0
1,22,2,.0000584,3.824766,4.9654247,2.995732,-2.128632,.5797625,1.81561,0
1,23,2,.0002613,3.995262,4.9654247,3.912023,-2.131999,.7753844,1.793235,0
1,24,2,.000228,3.153026,4.9654247,3.713572,-2.040221,.5478798,1.984933,0
