v1,_varname
.1670986,"borrowing_assets"
.2559768,"borrowing_dep_total"
.5531822,"loan_to_assets"
.3664235,"liquidity_to_assets"
.7186131,"deposits_assets"
.0288912,"nonintexp_assets"
.0173573,"nonintinc_assets"
2.224268,"effective_reserve_ratio"
.1986654,"ciloans_total_loans"
9.933252,"leverage"
4.202964,"loan_dur"
5.523602,"secu_dur"
5.105143,"assets_dur"
3.590392,"assets_dur_prepayment_adjusted"
3.310261,"loan_dur_prepayment_adjusted"
2.914107,"secu_dur_prepayment_adjusted"
.3004248,"liabilities_dur"
.6430791,"s_dep"
3.194736,"s_loan"
.7685163,"loan_to_dep"
.6821899,"s_dep_FFR"
-.2746669,"s_loan_FFR"
.9571272,"netloanchargeoffs_loans"
.0932241,"borrowing_assets_sd"
.0545659,"borrowing_assets_demean_sd"
.1728971,"borrowing_dep_total_sd"
.1057355,"borrowing_dep_total_demean_sd"
1.448419,"assets_dur_sd"
