rssdid,year,FEDFUNDS,netloanchargeoffs_loans,netloanchargeoffs_loans_L1y,nonintexp_assets,nonintinc_assets,assets_share
12311,1994,5.1666667,.3696297,,.0329322,.0129208,.0029926
12311,1995,5.72,.5852976,.3696297,.0314597,.0141581,.0033551
12311,1996,5.28,.6932534,.5852976,.0263113,.0116414,.0031631
12311,1997,5.5066667,.6535572,.6932534,.0284094,.0136183,.0053288
12311,1998,4.86,.5670131,.6535572,.0439381,.0142023,.0051935
12311,1999,5.3066667,.3154353,.5670131,.0422685,.0306495,.0050543
12311,2000,6.4733333,.4924992,.3154353,.0300468,.0158554,.0046205
12311,2001,2.1333333,1.014527,.4924992,.0378146,.0194448,.0044181
12311,2002,1.4433333,.9891922,1.014527,.1074742,.1124227,.0039389
12311,2003,.99666667,1.043122,.9891922,.0447892,.0314722,.0040488
12311,2004,1.95,.3305985,1.043122,.0331121,.0204123,.0038811
12311,2005,3.98,.2854869,.3305985,.027948,.0178549,.0036471
12311,2006,5.2466667,.3491737,.2854869,.0287844,.0156543,.0035351
12311,2007,4.4966667,3.959787,.3491737,.0305031,.010487,.0049589
12311,2008,.50666667,1.81796,3.959787,.0240379,.011699,.004421
12311,2009,.12,4.694998,1.81796,.0210057,.0148686,.0043709
12311,2010,.18666667,1.767977,4.694998,.0282492,.0156024,.0044775
12311,2011,.07333333,.8968081,1.767977,.0285242,.0131076,.0041584
12311,2012,.16,.6970789,.8968081,.0285571,.0169759,.0038692
12311,2013,.08666667,.4278795,.6970789,.0261579,.0131317,.004023
12311,2014,.1,.1915196,.4278795,.0260197,.0111579,.0042477
12311,2015,.16,.1787715,.1915196,.0249745,.0122959,.0044361
12311,2016,.45,.2609239,.1787715,.0255025,.0119396,.0059294
12311,2017,1.2033333,.2321674,.2609239,.0224372,.011641,.0059711
14409,1999,5.3066667,.0032305,,.0310812,.0066276,.0016121
14409,2000,6.4733333,.8873906,.0032305,.0289824,.0106993,.002624
14409,2001,2.1333333,.5377444,.8873906,.0277581,.0121435,.0028467
14409,2002,1.4433333,.4616817,.5377444,.0241125,.0096942,.0032794
14409,2003,.99666667,.3082638,.4616817,.0223661,.0097771,.003787
14409,2004,1.95,.2825894,.3082638,.0197437,.0096926,.0037779
14409,2005,3.98,.4580718,.2825894,.0212551,.010612,.0038819
14409,2006,5.2466667,.3902597,.4580718,.0197348,.0101688,.0035717
30810,1994,5.1666667,1.911229,,.1345185,.1183376,.0021626
30810,1995,5.72,2.974387,1.911229,.1345185,.1183376,.0023571
30810,1996,5.28,3.585066,2.974387,.1177875,.1183376,.0027232
30810,1997,5.5066667,4.649131,3.585066,.0901546,.1056553,.0033732
30810,1998,4.86,5.31319,4.649131,.1345185,.1183376,.0029783
30810,1999,5.3066667,2.995683,5.31319,.0975664,.103806,.0039684
30810,2000,6.4733333,3.501271,2.995683,.10368,.1104743,.004012
30810,2001,2.1333333,5.325303,3.501271,.0224537,.0667361,.0035267
30810,2002,1.4433333,5.331557,5.325303,.0853198,.1183376,.0034577
30810,2003,.99666667,5.626087,5.331557,.1025644,.1183376,.0025578
30810,2004,1.95,4.444681,5.626087,.0963439,.1183376,.0026631
30810,2005,3.98,5.626087,4.444681,.0942708,.0870502,.0026623
30810,2006,5.2466667,3.327105,5.626087,.1021554,.1126294,.002548
30810,2007,4.4966667,2.897447,3.327105,.1295229,.1131676,.0028141
30810,2008,.50666667,4.500648,2.897447,.0590947,.1183376,.0029929
30810,2009,.12,5.135609,4.500648,.0320824,.0346767,.0056309
30810,2010,.18666667,5.626087,5.135609,.0382153,.0232305,.0052362
30810,2011,.07333333,2.674685,5.626087,.0350345,.0209209,.0052017
30810,2012,.16,2.012898,2.674685,.046104,.0158043,.0049675
30810,2013,.08666667,1.849567,2.012898,.0352999,.0153986,.0052847
30810,2014,.1,2.024198,1.849567,.0362603,.0045156,.0052468
30810,2015,.16,1.9813,2.024198,.0381766,.0112604,.0053667
30810,2016,.45,2.248513,1.9813,.0342595,.0101658,.0054286
30810,2017,1.2033333,2.787369,2.248513,.0374486,.010074,.0056656
31415,1994,5.1666667,.2324201,,.0155309,.009464,.0081002
31415,1995,5.72,.697908,.2324201,.0136991,.0074381,.0080432
31415,1996,5.28,.0694272,.697908,.0151535,.0089948,.0103097
31415,1997,5.5066667,.0226776,.0694272,.0169678,.0092578,.0100679
31415,1998,4.86,-.1332026,.0226776,.0178001,.0087295,.0085843
35301,1994,5.1666667,.2837011,,.0477252,.0447012,.0054035
