year,rssdid,total_payout_ratio_w,borrowing_assets,borrowing_dep_total,s_dep,s_loan,deposits_assets,net_nonintexp_assets,leverage,MB_w,assets_share
2000,12311,.0474911,.220785,.3125338,3.164018,2.161515,.7064357,.0141914,13.74017,1.716272,.0046205
2014,12311,.0194495,.1137783,.1432335,.395649,2.131287,.794355,.0148618,10.88533,1.436668,.0042477
1998,12311,.028581,.213025,.300713,2.087407,3.333322,.7083997,.0297358,12.72665,2.948421,.0051935
2015,12311,.0222171,.1207032,.151806,.4582675,2.148061,.7951151,.0126786,11.87906,1.416152,.0044361
2006,12311,.0072602,.2088638,.2853641,2.812531,1.996044,.7319202,.0131301,16.88732,1.855309,.0035351
1999,12311,.0496107,.2320769,.3352283,2.738963,1.293383,.6922952,.011619,13.22264,2.504038,.0050543
2011,12311,.0130631,.1072175,.1311371,.1000572,3.241826,.8175985,.0154166,13.30071,.943118,.0041584
2007,12311,.0658388,.1938668,.2759775,1.985513,3.044504,.7024733,.020016,9.646933,.9087073,.0049589
2004,12311,.0206978,.2806201,.4171862,1.255925,1.215176,.6726496,.0126998,18.34885,2.257969,.0038811
1996,12311,.0367135,.3382783,.6093614,2.773664,1.779994,.5853705,.0146699,17.26302,2.488266,.0031631
2008,12311,0,.1699912,.2323605,-.9256678,3.203216,.7315839,.0123389,10.16003,.5241645,.004421
2016,12311,.0218388,.1135444,.1457013,.7107795,2.306863,.7792957,.0135628,9.331848,1.553851,.0059294
2012,12311,.0251628,.0698774,.0826809,.3258629,3.373239,.8451451,.0115812,11.76782,.9966054,.0038692
1994,12311,.0469497,.3077091,.496145,3.363261,.585722,.6201999,.0200114,13.87134,1.591002,.0029926
2002,12311,.1148897,.2854697,.4314926,.5120903,2.675023,.6615866,-.0049485,18.34885,1.989762,.0039389
2001,12311,.0429187,.2103009,.2926356,.2321975,1.92569,.7186441,.0183698,14.07359,1.786937,.0044181
2013,12311,.0184935,.0874984,.1068192,.3513817,2.304156,.8191266,.0130263,10.70951,1.403597,.004023
1997,12311,0,.2468591,.3584768,2.547128,2.584241,.6886334,.0147911,15.50208,3.407982,.0053288
2010,12311,.0053683,.1369566,.1717934,-.2334538,3.158282,.7972172,.0126468,15.19152,1.284313,.0044775
2003,12311,.0433128,.3196283,.5072685,.6187936,1.637419,.6300968,.0133169,18.34885,2.264912,.0040488
2005,12311,.0714559,.2467697,.3520491,2.313667,1.323188,.7009524,.0100931,18.34885,2.08114,.0036471
2017,12311,.0224659,.1335629,.1762731,1.354808,2.012369,.7577044,.0107963,9.196861,1.602044,.0059711
2009,12311,.0429642,.1224696,.1489282,-.6738627,2.712802,.8223397,.0061371,18.11898,.7160589,.0043709
1995,12311,.0847094,.3382783,.630259,2.691363,3.919399,.5678183,.0173016,13.45733,2.102375,.0033551
2002,14409,,.1392616,.1888227,.2710232,2.446846,.7375262,.0144183,8.116083,,.0032794
1999,14409,,.2288939,.346396,2.605481,1.923872,.6607868,.0244536,9.064596,,.0016121
2003,14409,,.1484469,.2020393,.3018974,1.098678,.7347424,.012589,8.560858,,.003787
2006,14409,,.2147121,.3234333,3.160457,1.833217,.6638528,.0095659,8.234847,,.0035717
2000,14409,,.1336136,.1868887,3.711588,2.619716,.7149368,.0182831,6.602855,,.002624
2001,14409,,.154209,.2172683,.6118493,2.042939,.7097631,.0156146,7.351432,,.0028467
2004,14409,,.1418383,.1909729,1.149771,1.141087,.7427144,.0100511,8.661961,,.0037779
2005,14409,,.1775752,.251246,2.690019,1.087991,.706778,.0106432,8.647018,,.0038819
2011,30810,.0428498,.3132053,.5360535,-2.132394,10.66902,.58428,.0141136,9.754695,1.539871,.0052017
2007,30810,,.062974,.0761715,-.4994165,6.189815,.8267388,.0163554,9.067237,,.0028141
2001,30810,,.2883672,.4881175,-2.876083,7.416551,.5907742,-.0442824,8.274134,,.0035267
1998,30810,.0735251,.3382783,.7030444,-.1488205,7.586719,.4935935,.0161809,7.292458,2.98718,.0029783
2000,30810,.0364023,.3112354,.5389599,1.463969,6.417848,.5774742,-.0067943,8.985502,4.686059,.004012
2017,30810,.0924876,.2771548,.4498836,-.2954556,9.904299,.616059,.0273746,9.364508,2.665428,.0056656
2008,30810,,.0958256,.120056,-3.850819,8.079764,.7981738,-.0592429,9.433913,,.0029929
2004,30810,,.1805214,.2625989,-1.330009,5.887663,.6874414,-.0219937,7.573623,,.0026631
2016,30810,.0841703,.2941269,.4973725,-.8059961,10.32975,.5913613,.0240937,8.732721,2.603934,.0054286
2006,30810,,.2753927,.4800798,.5688531,5.821666,.5736395,-.010474,6.623932,,.002548
1995,30810,,.3382783,.7030444,.7108585,6.280428,.5279446,.0161809,10.68283,,.0023571
1997,30810,,.3382783,.7030444,.4975094,6.136396,.480151,-.0155007,10.1459,,.0033732
2015,30810,.0959917,.3041288,.5242289,-1.056516,10.07145,.580145,.0269162,8.641087,2.110166,.0053667
1999,30810,.0315363,.3382783,.7030444,.2976132,5.380774,.5091515,-.0062397,10.88412,4.710343,.0039684
